TP,TM_FC,SEQ,TM_EQK,MSC,MT,LAT,LON,LOC,INT,REM,COR
1,200210192000,34,20021016194858.009,2.4,36.6000,127.6000,충북 청주 남동쪽 약 10km 지역,무감\n,청주기상대에 확인한  결과  무감임,,=
1,200210192200,35,20021019213154.007,2.7,36.2000,127.6000,충남 금산 북동쪽 약 15km 지역,무감\n,금산기상관측소와 대전지방기상청에 확인 결과 무감임,,=
1,200210200000,36,20021020042207.006,3.0,35.2000,127.7000,경남 하동 북북서쪽  약 15km 지역,무감\n,진주기상대와 순천기상관측소에 확인 결과 무감임,,=
1,200210200000,36,20021020042207.006,3.0,35.2000,127.7000,경남 하동 북북서쪽  약 15km 지역,무감\n,진주기상대와 순천기상관측소에 확인 결과 무감임,,=
3,200210231040,37,20021023103053.005,2.8,34.9000,128.4000,경남 통영 북서쪽  약 5km 지역,유감 (MMI)\n 진도 II : 통영\n,지금까지 조사된 바에 의하면 이 지진으로 인하여 통영지방에서 창문이\n흔들리는 정도의 진동이 감지되었음.,,=
1,200210250000,38,20021025040647.007,2.4,33.9000,127.1000,전남 완도 남동쪽 약 55km 해역,,완도기상대와 여수기상대에 확인 결과 무감임.,,=
1,200210280000,39,20021028115052.008,2.8,35.1000,126.6000,전남 나주 북서쪽 약 10km 지역,,광주지방기상청과 목포기상대에 확인 결과 무감임.,,=
1,200211060000,40,20021106214807.001,2.5,36.4000,127.7000,충북 보은 남서쪽 약 10km 지역,,대전지방기상청과 추풍령기상대에 확인 결과 무감임.,,=
1,200211130000,41,20021113214626.004,2.4,35.8000,127.9000,경남 거창 남쪽 약 15km지역,,진주기상대와 거창기상관측소에 확인 결과 무감임.,,=
1,200212051020,42,20021205100546.005,2.0,36.7000,126.3000,충남 서산 남서쪽 약 15km 지역,,서산기상대에 확인 결과 무감임.,,=
1,200212051115,43,20021205110115.009,2.1,36.7000,126.2000,충남 서산 서남서쪽 약 25km 지역,,서산기상대에 확인 결과 무감임.,,=
1,200212071700,44,20021207164338.007,2.7,37.4000,129.4000,강원 속초 동쪽 약 20km 해역,,동해기상대에 확인 결과 무감임.,,=
3,200212100755,45,20021210074250.009,3.8,38.8000,127.2000,강원 철원 북쪽 약 60km 지역(북한),진도 III : 철원\n진도 II : 동두천, 안산,동두천과 안산 지역에서 약한 진동이 감지되었으며\n철원지역에서는 집이 흔들리는 정도의 진동이 감지되었음.,
1,200212120000,46,20021212214221.007,2.3,37.1000,126.4000,충남 서산 북쪽 약 35km 해역,무감,서산기상대에 확인 결과 무감임.,,=
1,200212161835,47,20021216182136.009,2.4,36.7000,130.2000,경북 울진 동남동쪽 약 75km 해역,무감,울진기상대에 확인 결과 무감임.,,=
1,200212170000,48,20021217084455.004,2.1,37.1000,126.4000,충남 서산 북쪽 약 35km 해역,무감,서산기상대에 확인 결과 무감임.,,=
3,200212262355,49,20021226234150.000,2.7,36.5000,127.0000,충남 공주 서북서쪽 약 10km 지역,진도 II : 부여 , 지금까지 조사된 바에 의하면 이 지진으로 인하여 부여에서 약한 진동이 감지 되었음,,=
1,200301091750,1,20030109173317.003,3.9,37.4000,124.2000,인천광역시 백령도 남서쪽 약 60km 해역,무감,백령도기상대 확인결과 무감임.,,=
1,200301100805,2,20030110075604.008,2.7,35.9000,129.2000,경북 경주 북쪽 약 10km 지역 ,진도 II : 포항, 지금까지 조사한 바에 의하면 이 지진으로 인하여 포항지역에서 \n약한 진동이 감지되었음. ,,=
3,200301100805,2,20030110075604.008,2.7,35.9000,129.2000,경북 경주 북쪽 약 10km 지역 ,진도 II : 포항, 지금까지 조사한 바에 의하면 이 지진으로 인하여 포항지역에서 \n약한 진동이 감지되었음. ,,=
3,200301132215,3,20030113220324.007,2.8,35.8000,129.4000,경북 경주 동쪽 약 20km 지역 ,진도 II : 경주, 월성, 지금까지 조사한 바에 의하면 이 지진으로 인하여 경북 경주지역에서 \n약한 진동이 감지되었음. ,
1,200301160000,4,20030116140258.001,2.2,33.6000,127.3000,제주도 성산포 동북동쪽 약 40km 해역,무감,성산포기상관측소에 확인 결과 무감임.,,=
3,200302082355,5,20030208234633.000,2.9,35.3000,126.6000,전남 영광 동쪽 약 10km 지역,유감,지금까지 조사한 바에 의하면 이 지진으로 인하여 함평, 장성, 고창지역에서 약한 진동이 감지되었음.
1,200302090000,6,20030209222845.002,2.3,36.0000,127.9000,경북 김천 남서쪽 약 20km 지역,무감,추풍령기상대, 장수기상관측소에 확인결과 무감임,
1,200302140000,7,20030214164242.006,2.9,38.0000,124.5000,인천광역시 백령도 서북서쪽 약 15km 해역 ,무감,백령도기상대에 확인결과 무감임,,=
1,200303012117,8,20030301210720.006,2.5,37.6000,124.6000,인천광역시 백령도 남쪽 약 40km 해역 ,무감,백령도기상대에 확인결과 무감임,,=
3,200303012345,9,20030301233328.005,3.0,35.8000,129.3000,경북 경주 남동쪽 약 10km 지역,유감(MMI)\n - 진도III : 경주,  진도II : 울산,지금까지 조사된 바에 의하면 이 지진으로 인하여 울산지역에서는 창문이 흔들렸으며 경주 지역에서는 땅이 흔들리는 정도의 진동을 느꼈음.,
3,200303041250,10,20030304124425.001,2.9,38.3000,128.6000,강원도 속초 북쪽 약 10km 해역,유감(MMI)\n - 진도II : 속초,지금까지 조사된 바에 의하면 이 지진으로 인하여 \n속초에서 창문이 흔들리는 진동을 느꼈음.,,=
3,200303100340,11,20030310032803.001,3.0,36.1000,128.4000,경북 구미 동쪽 약 10km 지역,유감(MMI)\n - 진도III : 구미,지금까지 조사된 바에 의하면 이 지진으로 인하여 \n구미지역에서 땅이 흔들리는 정도의 진동을 느꼈음.,,=
1,200303140000,12,20030314040611.006,2.1,36.2000,128.7000,경북 의성 남쪽 약 15km 지역 ,, -대구기상대 확인 결과 무감임,,=
2,200303190000,13,20030319230518.004,2.3,36.5000,129.6000,경북 영덕 북동쪽 약 20km 해역,,-포항기상대와  울진기상대 확인 결과 무감임.,,=
2,200303190000,13,20030319230518.004,2.3,36.5000,129.6000,경북 영덕 북동쪽 약 20km 해역,,-포항기상대와  울진기상대 확인 결과 무감임.,,=
